id,5636912793
shortcode,nan
height,nan
width,nan
gating_info,nan
fact_check_overall_rating,nan
fact_check_information,nan
sensitivity_friction_info,nan
media_overlay_info,nan
media_preview,nan
display_url,nan
accessibility_caption,nan
is_video,nan
tracking_token,nan
tagged_users,nan
caption,nan
caption_is_edited,nan
has_ranked_comments,nan
comments,nan
comments_disabled,nan
commenting_disabled_for_viewer,nan
timestamp,nan
likes,nan
location,UAE Dirham
viewer_has_liked,nan
viewer_has_saved,nan
viewer_has_saved_to_collection,nan
viewer_in_photo_of_you,nan
viewer_can_reshare,nan
video_url,nan
has_audio,nan
video_view_count,nan
username,nan
full_name,Alroy
profile_pic_url,nan
profile_pic_url_hd,nan
upload_date,None
hashtags,nan
